iteration,strategy,constraint,selected_threshold,in_bag_sensitivity,in_bag_specificity,in_bag_mcc,n_oob,events_oob,oob_threshold,oob_tp,oob_fp,oob_tn,oob_fn,oob_sensitivity_rule_out,oob_specificity_rule_in,oob_positive_predictive_value,oob_negative_predictive_value,oob_balanced_accuracy,oob_f1_score,oob_mcc
296,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.15077358859825069,0.9166666666666666,0.6540880503144654,0.4450062360995843,64,13,0.15077358859825069,8,16,35,5,0.6153846153846154,0.6862745098039216,0.3333333333333333,0.875,0.6508295625942685,0.43243243243243246,0.25069034899841114
296,Rule-in,in-bag specificity >=90%; maximize MCC,0.3367966725836534,0.6944444444444444,0.9056603773584906,0.5766085582948662,64,13,0.3367966725836534,5,2,49,8,0.38461538461538464,0.9607843137254902,0.7142857142857143,0.8596491228070176,0.6726998491704375,0.5,0.44523804823840996
297,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.09442753634526,0.9166666666666666,0.4339622641509434,0.28188940699635223,73,14,0.09442753634526,14,33,26,0,1.0,0.4406779661016949,0.2978723404255319,1.0,0.7203389830508474,0.45901639344262296,0.3623061925177033
297,Rule-in,in-bag specificity >=90%; maximize MCC,0.4268091396752629,0.3055555555555556,0.9622641509433962,0.36834763049045877,73,14,0.4268091396752629,5,6,53,9,0.35714285714285715,0.8983050847457628,0.45454545454545453,0.8548387096774194,0.62772397094431,0.4,0.28112550222927823
298,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.12163519355034692,0.9444444444444444,0.5660377358490566,0.396750856547973,68,9,0.12163519355034692,6,22,37,3,0.6666666666666666,0.6271186440677966,0.21428571428571427,0.925,0.6468926553672316,0.32432432432432434,0.20228716432908006
298,Rule-in,in-bag specificity >=90%; maximize MCC,0.3462235841861421,0.5,0.9748427672955975,0.5823247486159361,68,9,0.3462235841861421,3,1,58,6,0.3333333333333333,0.9830508474576272,0.75,0.90625,0.6581920903954802,0.46153846153846156,0.4556611884328835
299,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.2611464459967339,0.9166666666666666,0.7610062893081762,0.5464242314671688,63,10,0.2611464459967339,5,20,33,5,0.5,0.6226415094339622,0.2,0.868421052631579,0.5613207547169812,0.2857142857142857,0.0916038272770162
299,Rule-in,in-bag specificity >=90%; maximize MCC,0.4395408672457109,0.5555555555555556,0.9559748427672956,0.5746252912746032,63,10,0.4395408672457109,3,8,45,7,0.3,0.8490566037735849,0.2727272727272727,0.8653846153846154,0.5745283018867925,0.2857142857142857,0.14347992536489346
300,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.11971469874528098,0.9166666666666666,0.5723270440251572,0.3796893994426594,67,11,0.11971469874528098,10,25,31,1,0.9090909090909091,0.5535714285714286,0.2857142857142857,0.96875,0.7313311688311688,0.43478260869565216,0.3431195728607571
300,Rule-in,in-bag specificity >=90%; maximize MCC,0.41749767007609256,0.3333333333333333,0.9559748427672956,0.3785100241788848,67,11,0.41749767007609256,6,1,55,5,0.5454545454545454,0.9821428571428571,0.8571428571428571,0.9166666666666666,0.7637987012987013,0.6666666666666666,0.6389521851179771
301,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.06218815521164285,1.0,0.3584905660377358,0.30580921846275444,77,15,0.06218815521164285,15,46,16,0,1.0,0.25806451612903225,0.2459016393442623,1.0,0.6290322580645161,0.39473684210526316,0.25190968137948344
301,Rule-in,in-bag specificity >=90%; maximize MCC,0.3991622533742844,0.4444444444444444,0.9622641509433962,0.49876821735757887,77,15,0.3991622533742844,8,7,55,7,0.5333333333333333,0.8870967741935484,0.5333333333333333,0.8870967741935484,0.7102150537634409,0.5333333333333333,0.4204301075268817
302,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.12694363430956934,0.9722222222222222,0.6666666666666666,0.49812911093240886,74,17,0.12694363430956934,11,25,32,6,0.6470588235294118,0.5614035087719298,0.3055555555555556,0.8421052631578947,0.6042311661506707,0.41509433962264153,0.17544719621165633
302,Rule-in,in-bag specificity >=90%; maximize MCC,0.47973883012537993,0.6111111111111112,0.9622641509433962,0.6343829657496299,74,17,0.47973883012537993,4,5,52,13,0.23529411764705882,0.9122807017543859,0.4444444444444444,0.8,0.5737874097007224,0.3076923076923077,0.18993115790352932
303,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.16365664529899898,0.9444444444444444,0.710691823899371,0.5167583959782901,67,11,0.16365664529899898,8,27,29,3,0.7272727272727273,0.5178571428571429,0.22857142857142856,0.90625,0.6225649350649352,0.34782608695652173,0.18179317719990992
303,Rule-in,in-bag specificity >=90%; maximize MCC,0.3679926623377734,0.75,0.9119496855345912,0.6302640037027414,67,11,0.3679926623377734,6,14,42,5,0.5454545454545454,0.75,0.3,0.8936170212765957,0.6477272727272727,0.3870967741935484,0.23917572831192477
304,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.11760538034138814,0.9166666666666666,0.6666666666666666,0.4558312883411646,74,15,0.11760538034138814,12,29,30,3,0.8,0.5084745762711864,0.2926829268292683,0.9090909090909091,0.6542372881355932,0.42857142857142855,0.24948366387017934
304,Rule-in,in-bag specificity >=90%; maximize MCC,0.40904087957509283,0.6666666666666666,0.9182389937106918,0.5787702924982541,74,15,0.40904087957509283,6,7,52,9,0.4,0.8813559322033898,0.46153846153846156,0.8524590163934426,0.6406779661016949,0.42857142857142855,0.29722895739319244
305,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.14618367175660119,0.9166666666666666,0.5974842767295597,0.39897119778844686,69,14,0.14618367175660119,10,17,38,4,0.7142857142857143,0.6909090909090909,0.37037037037037035,0.9047619047619048,0.7025974025974027,0.4878048780487805,0.3338894556960818
305,Rule-in,in-bag specificity >=90%; maximize MCC,0.5539996636834345,0.19444444444444445,1.0,0.4055247891435604,69,14,0.5539996636834345,1,3,52,13,0.07142857142857142,0.9454545454545454,0.25,0.8,0.5084415584415585,0.1111111111111111,0.02905436015739882
306,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.2018444235015639,0.9444444444444444,0.6918238993710691,0.4992775878642626,68,15,0.2018444235015639,11,21,32,4,0.7333333333333333,0.6037735849056604,0.34375,0.8888888888888888,0.6685534591194968,0.46808510638297873,0.2800431732713315
306,Rule-in,in-bag specificity >=90%; maximize MCC,0.5670532928821568,0.2777777777777778,1.0,0.48860898348141196,68,15,0.5670532928821568,2,2,51,13,0.13333333333333333,0.9622641509433962,0.5,0.796875,0.5477987421383648,0.21052631578947367,0.1684651392563283
307,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.09577211529067371,0.9444444444444444,0.4528301886792453,0.3176377439784822,66,12,0.09577211529067371,11,23,31,1,0.9166666666666666,0.5740740740740741,0.3235294117647059,0.96875,0.7453703703703703,0.4782608695652174,0.378726042189707
307,Rule-in,in-bag specificity >=90%; maximize MCC,0.3358399248644067,0.5,0.9559748427672956,0.5291712365182641,66,12,0.3358399248644067,3,2,52,9,0.25,0.9629629629629629,0.6,0.8524590163934426,0.6064814814814814,0.35294117647058826,0.3104142599019178
308,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.08741798273464128,0.9722222222222222,0.5220125786163522,0.38724159698718646,72,14,0.08741798273464128,13,31,27,1,0.9285714285714286,0.46551724137931033,0.29545454545454547,0.9642857142857143,0.6970443349753694,0.4482758620689655,0.3199385776890596
308,Rule-in,in-bag specificity >=90%; maximize MCC,0.43095704495988874,0.5,0.9371069182389937,0.48361553330456253,72,14,0.43095704495988874,8,2,56,6,0.5714285714285714,0.9655172413793104,0.8,0.9032258064516129,0.7684729064039408,0.6666666666666666,0.6144869015956641
